product_id,category,brand
138479,Personal Care,Dabur
576919,Bakery,Parle
192337,Staples,Tata
429795,Staples,Fortune
364659,Staples,Patanjali
438977,Beverages,Coca-Cola
221552,Dairy,Mother Dairy
910075,Snacks,PepsiCo
523808,Household,Reckitt
639593,Bakery,Parle
964998,Frozen,Mother Dairy
101206,Household,P&G
789606,Beverages,Dabur
668950,Bakery,Britannia
584417,Household,Godrej
533321,Frozen,Sumeru
156837,Household,HUL
296694,Personal Care,Dabur
643623,Snacks,PepsiCo
479353,Personal Care,ITC
752878,Personal Care,P&G
893188,Household,ITC
622707,Staples,ITC
755788,Snacks,Britannia
563513,Bakery,Modern
896907,Dairy,ITC
154118,Personal Care,Himalaya
313446,Staples,ITC
380028,Bakery,Britannia
675898,Bakery,Britannia
237377,Frozen,McCain
402020,Staples,Patanjali
559398,Bakery,English Oven
832168,Bakery,Parle
608257,Household,HUL
227324,Bakery,Britannia
130271,Staples,Tata
760626,Frozen,Godrej
738448,Beverages,Paper Boat
938141,Beverages,PepsiCo
350921,Bakery,English Oven
844261,Bakery,English Oven
266071,Beverages,Paper Boat
425845,Household,ITC
677596,Personal Care,ITC
114338,Dairy,Amul
679077,Beverages,HUL
527809,Personal Care,ITC
197736,Staples,Tata
335615,Personal Care,HUL
982277,Dairy,Nestle
218972,Personal Care,P&G
583863,Dairy,Amul
223172,Dairy,ITC
779172,Frozen,Sumeru
972565,Frozen,Sumeru
261450,Staples,Fortune
622584,Dairy,ITC
851413,Beverages,Paper Boat
406039,Frozen,Godrej
633590,Household,Godrej
839677,Snacks,ITC
386706,Beverages,Dabur
535673,Frozen,Mother Dairy
975271,Snacks,PepsiCo
605937,Staples,Fortune
595158,Beverages,Coca-Cola
355570,Bakery,Parle
578975,Snacks,Britannia
678043,Personal Care,ITC
251668,Frozen,Sumeru
502219,Dairy,Amul
299869,Frozen,McCain
728492,Staples,ITC
632929,Dairy,Amul
882544,Personal Care,Dabur
243139,Frozen,Sumeru
173201,Dairy,Nestle
389666,Staples,Fortune
910208,Bakery,Parle
928381,Staples,Patanjali
995916,Snacks,ITC
535098,Beverages,Dabur
456385,Beverages,HUL
925981,Bakery,ITC
632401,Household,Godrej
380150,Dairy,Nestle
960408,Beverages,HUL
102689,Dairy,Nestle
396578,Household,Reckitt
861319,Dairy,Britannia
413058,Beverages,Dabur
978157,Bakery,ITC
715448,Dairy,Britannia
708093,Beverages,Paper Boat
791998,Staples,ITC
613425,Staples,Fortune
255813,Dairy,Mother Dairy
568238,Staples,Aashirvaad
664742,Personal Care,P&G
607868,Dairy,Mother Dairy
461888,Beverages,Dabur
448588,Beverages,HUL
678727,Snacks,ITC
899929,Dairy,Britannia
669827,Bakery,Modern
495533,Dairy,Mother Dairy
577463,Dairy,ITC
437408,Snacks,Britannia
297816,Staples,Tata
831380,Frozen,Sumeru
350405,Household,Reckitt
699573,Personal Care,Himalaya
501574,Personal Care,ITC
344907,Frozen,ITC
997594,Staples,Patanjali
913217,Frozen,Mother Dairy
530728,Household,Reckitt
145767,Bakery,Modern
433632,Personal Care,Himalaya
880879,Dairy,Nestle
595951,Snacks,Britannia
839485,Staples,Patanjali
950823,Beverages,HUL
499749,Beverages,Dabur
504832,Beverages,PepsiCo
795928,Household,Reckitt
930884,Dairy,ITC
960616,Beverages,PepsiCo
783691,Frozen,Godrej
259493,Snacks,Britannia
619389,Snacks,Britannia
138817,Staples,Tata
232378,Bakery,Britannia
626690,Staples,Tata
718849,Snacks,ITC
448121,Beverages,Dabur
205239,Dairy,Mother Dairy
986088,Snacks,ITC
561694,Frozen,ITC
204555,Frozen,Mother Dairy
651499,Snacks,PepsiCo
579123,Snacks,ITC
116093,Personal Care,P&G
857537,Bakery,Britannia
251157,Household,P&G
529893,Household,HUL
786587,Snacks,Haldiram
261859,Bakery,English Oven
178463,Frozen,McCain
592296,Beverages,Paper Boat
919488,Snacks,Balaji
377896,Personal Care,P&G
455007,Household,Reckitt
753534,Snacks,Balaji
826353,Staples,Tata
516791,Bakery,Modern
781403,Beverages,HUL
184216,Staples,ITC
993140,Snacks,Britannia
444525,Frozen,McCain
993744,Bakery,ITC
807115,Household,HUL
659543,Staples,ITC
498468,Staples,Tata
432043,Beverages,HUL
757246,Staples,Tata
853629,Snacks,ITC
896290,Staples,Tata
611650,Frozen,Mother Dairy
667296,Dairy,Mother Dairy
137642,Beverages,Paper Boat
747453,Snacks,ITC
171744,Personal Care,HUL
346174,Personal Care,HUL
761820,Staples,Fortune
817644,Bakery,English Oven
401338,Frozen,Godrej
338536,Snacks,Haldiram
883041,Household,ITC
194769,Snacks,ITC
555052,Household,HUL
203225,Staples,Aashirvaad
897305,Bakery,Parle
764532,Bakery,ITC
838083,Dairy,ITC
205389,Frozen,Godrej
565230,Household,HUL
274446,Bakery,Britannia
827712,Bakery,English Oven
414012,Dairy,Britannia
130353,Household,ITC
148225,Beverages,Coca-Cola
440131,Staples,Fortune
934816,Household,Reckitt
158845,Bakery,Modern
407618,Frozen,Godrej
475876,Frozen,McCain
493049,Staples,Patanjali
551607,Bakery,ITC
252640,Snacks,PepsiCo
356059,Bakery,ITC
656968,Dairy,Amul
532067,Dairy,Britannia
693418,Frozen,McCain
814919,Dairy,Amul
931016,Personal Care,ITC
288803,Staples,Aashirvaad
278240,Snacks,Balaji
283573,Dairy,ITC
182804,Staples,Fortune
739098,Frozen,McCain
501126,Dairy,Britannia
749813,Staples,Aashirvaad
816318,Staples,Fortune
352528,Personal Care,HUL
621841,Snacks,Haldiram
711484,Frozen,Sumeru
250069,Bakery,English Oven
343467,Beverages,Dabur
583550,Household,Reckitt
768891,Personal Care,Himalaya
366314,Household,Reckitt
581894,Personal Care,HUL
367729,Dairy,Amul
799233,Frozen,ITC
109853,Frozen,McCain
943718,Staples,Fortune
587853,Beverages,HUL
401603,Household,ITC
810526,Dairy,Mother Dairy
673149,Staples,Patanjali
265649,Personal Care,HUL
177449,Personal Care,P&G
563187,Personal Care,Dabur
462351,Snacks,ITC
716113,Staples,Aashirvaad
413685,Dairy,Britannia
769975,Beverages,Coca-Cola
544920,Household,Reckitt
823846,Frozen,Sumeru
362246,Bakery,Parle
579027,Beverages,PepsiCo
986365,Staples,ITC
416797,Frozen,Mother Dairy
308894,Staples,Tata
503380,Dairy,Mother Dairy
994787,Bakery,English Oven
606680,Snacks,PepsiCo
211834,Dairy,Nestle
348728,Dairy,Mother Dairy
499889,Staples,Tata
699704,Staples,Patanjali
476395,Household,HUL
702733,Household,P&G
410244,Household,P&G
833247,Household,Godrej
409571,Beverages,HUL
123005,Dairy,Britannia
970357,Dairy,Mother Dairy
790203,Staples,Patanjali
515032,Snacks,PepsiCo
387813,Beverages,Coca-Cola
108491,Household,P&G
693419,Bakery,English Oven
819112,Snacks,Britannia
916118,Household,ITC
880841,Frozen,ITC
151426,Bakery,ITC
735863,Frozen,McCain
881369,Snacks,Haldiram
620856,Frozen,Mother Dairy
973294,Frozen,Mother Dairy
400096,Personal Care,ITC
913423,Dairy,Nestle
937665,Staples,Fortune
341296,Bakery,Modern
736553,Staples,Patanjali
940886,Beverages,Dabur
469435,Personal Care,Dabur
329642,Beverages,Dabur
767542,Frozen,ITC
299367,Dairy,Amul
751051,Snacks,ITC
362801,Bakery,English Oven
810687,Bakery,Modern
892280,Dairy,Nestle
855948,Staples,Tata
904751,Dairy,ITC
791201,Frozen,Mother Dairy
813928,Household,Reckitt
979060,Snacks,PepsiCo
243423,Bakery,English Oven
758765,Frozen,ITC
201883,Personal Care,Himalaya
757937,Staples,ITC
777737,Snacks,ITC
141337,Frozen,Sumeru
423939,Frozen,Godrej
926918,Snacks,PepsiCo
562236,Bakery,Modern
134985,Household,ITC
707727,Bakery,ITC
482584,Snacks,Britannia
867934,Snacks,Balaji
237795,Personal Care,ITC
194511,Household,HUL
409445,Bakery,English Oven
442589,Frozen,Sumeru
883790,Household,Godrej
535686,Beverages,PepsiCo
284171,Beverages,Paper Boat
310548,Staples,Fortune
238579,Staples,Tata
924718,Personal Care,Himalaya
665610,Bakery,English Oven
483629,Snacks,PepsiCo
656639,Snacks,Haldiram
626169,Staples,Aashirvaad
385765,Frozen,ITC
970813,Dairy,Nestle
272537,Staples,Tata
369452,Bakery,English Oven
964749,Household,Godrej
605254,Staples,Patanjali
945664,Frozen,Sumeru
409478,Household,Reckitt
882824,Snacks,ITC
455168,Staples,ITC
943298,Bakery,English Oven
220764,Household,HUL
591081,Frozen,Godrej
178957,Personal Care,HUL
247594,Frozen,ITC
890785,Bakery,Modern
336574,Personal Care,HUL
809176,Beverages,PepsiCo
859396,Snacks,Britannia
807166,Staples,Aashirvaad
516716,Dairy,ITC
986827,Personal Care,Dabur
943671,Frozen,McCain
684384,Dairy,Britannia
483542,Personal Care,Himalaya
194689,Staples,Aashirvaad
929090,Bakery,ITC
513741,Dairy,ITC
114594,Staples,Patanjali
377304,Staples,Fortune
662636,Frozen,ITC
229592,Personal Care,ITC
576877,Household,P&G
486490,Household,ITC
805511,Personal Care,Dabur
885395,Staples,Aashirvaad
805000,Staples,Patanjali
374896,Household,ITC
712955,Beverages,HUL
499534,Bakery,Parle
962367,Staples,Tata
769567,Household,HUL
489518,Household,HUL
213609,Staples,Aashirvaad
807617,Household,Reckitt
345180,Personal Care,P&G
594379,Household,Godrej
126240,Household,P&G
749641,Beverages,HUL
688678,Personal Care,P&G
443939,Snacks,Balaji
739717,Personal Care,P&G
332120,Snacks,PepsiCo
779112,Bakery,ITC
166287,Frozen,McCain
766269,Dairy,Amul
963874,Dairy,ITC
586819,Frozen,Mother Dairy
835132,Personal Care,ITC
416869,Staples,Fortune
780776,Snacks,PepsiCo
528129,Personal Care,Himalaya
222343,Snacks,Haldiram
246566,Bakery,Modern
147549,Snacks,Britannia
139019,Frozen,ITC
419149,Household,HUL
616554,Snacks,ITC
221761,Beverages,Dabur
201913,Household,Reckitt
346205,Frozen,ITC
663658,Frozen,Godrej
242254,Personal Care,HUL
507524,Staples,Tata
575679,Frozen,Godrej
489033,Dairy,Amul
803055,Staples,Fortune
879238,Personal Care,P&G
830316,Bakery,Parle
666432,Staples,ITC
539486,Bakery,Britannia
715870,Dairy,Mother Dairy
878325,Frozen,Godrej
861894,Personal Care,HUL
262029,Household,Reckitt
535037,Personal Care,Dabur
786735,Household,ITC
203831,Household,Godrej
974190,Snacks,ITC
613117,Staples,Tata
745558,Snacks,PepsiCo
527940,Frozen,Godrej
393328,Dairy,ITC
134305,Household,HUL
823811,Household,ITC
488528,Personal Care,P&G
327823,Dairy,ITC
564920,Dairy,ITC
566297,Staples,Aashirvaad
347582,Frozen,Sumeru
997004,Personal Care,P&G
480303,Beverages,HUL
204180,Frozen,Sumeru
818987,Staples,ITC
485178,Beverages,Coca-Cola
