store_id,store_type,region,state,city
7227,Supermarket,South,KL,Kochi
5554,Kirana,South,TN,Chennai
8428,Wholesale,East,WB,Kolkata
6977,Wholesale,West,MH,Pune
3664,Supermarket,South,TS,Hyderabad
7065,Supermarket,West,MH,Mumbai
6820,Hypermarket,East,BR,Patna
4432,Hypermarket,North,UP,Lucknow
5374,Hypermarket,East,AS,Guwahati
2169,Hypermarket,North,DL,Delhi
3803,Hypermarket,West,RJ,Udaipur
9751,Convenience,North,DL,Delhi
5010,Hypermarket,East,BR,Patna
3677,Convenience,East,AS,Guwahati
8573,Convenience,North,PB,Ludhiana
7216,Kirana,West,GJ,Ahmedabad
5422,Convenience,East,WB,Kolkata
4598,Wholesale,West,GJ,Ahmedabad
6313,Convenience,North,UP,Lucknow
1916,Hypermarket,South,KA,Bengaluru
4752,Hypermarket,South,KL,Kochi
1525,Convenience,East,BR,Patna
6168,Wholesale,West,MH,Pune
7572,Convenience,East,OD,Bhubaneswar
5386,Convenience,South,KL,Kochi
2084,Hypermarket,North,UP,Lucknow
4456,Convenience,West,GJ,Surat
6155,Wholesale,South,KL,Kochi
4483,Convenience,East,OD,Bhubaneswar
9179,Kirana,East,OD,Bhubaneswar
7482,Convenience,South,KA,Mysuru
8517,Supermarket,South,KA,Bengaluru
3340,Supermarket,South,TN,Chennai
5339,Kirana,West,MH,Mumbai
3287,Convenience,West,GJ,Surat
5040,Wholesale,North,PB,Ludhiana
9830,Wholesale,West,GJ,Surat
5304,Supermarket,East,OD,Bhubaneswar
8019,Wholesale,North,DL,Delhi
7543,Convenience,West,MH,Pune
6930,Convenience,East,WB,Kolkata
4593,Wholesale,West,MH,Mumbai
3266,Convenience,West,GJ,Surat
9348,Convenience,South,KL,Kochi
9085,Wholesale,East,AS,Guwahati
2489,Wholesale,West,GJ,Surat
1771,Hypermarket,South,TN,Chennai
2796,Hypermarket,East,OD,Bhubaneswar
3504,Hypermarket,East,WB,Kolkata
3621,Hypermarket,West,GJ,Ahmedabad
7916,Kirana,South,KA,Mysuru
2040,Supermarket,West,MH,Pune
7304,Supermarket,East,OD,Bhubaneswar
7252,Wholesale,North,PB,Ludhiana
8668,Wholesale,South,KA,Mysuru
9669,Supermarket,East,WB,Kolkata
5119,Convenience,East,JH,Ranchi
1188,Wholesale,North,HR,Gurugram
2876,Hypermarket,East,WB,Kolkata
9797,Wholesale,South,KL,Kochi
5371,Supermarket,West,GJ,Surat
6573,Wholesale,South,KL,Kochi
2827,Hypermarket,North,PB,Ludhiana
5808,Wholesale,East,OD,Bhubaneswar
8123,Convenience,West,RJ,Udaipur
3591,Convenience,North,PB,Ludhiana
8433,Wholesale,North,DL,Delhi
1053,Supermarket,West,GJ,Surat
5315,Wholesale,North,UP,Lucknow
9201,Wholesale,South,TN,Chennai
3927,Wholesale,South,TS,Hyderabad
9317,Hypermarket,South,KL,Kochi
2743,Kirana,North,PB,Ludhiana
5889,Supermarket,North,UP,Lucknow
4258,Kirana,North,DL,Delhi
7126,Kirana,West,MH,Pune
3646,Supermarket,West,MH,Pune
9837,Convenience,East,WB,Kolkata
9689,Hypermarket,West,GJ,Surat
1009,Convenience,South,TN,Chennai
6310,Hypermarket,North,RJ,Jaipur
9005,Kirana,North,HR,Gurugram
1319,Wholesale,South,KA,Mysuru
2832,Kirana,East,OD,Bhubaneswar
6947,Hypermarket,West,MH,Mumbai
6038,Kirana,North,HR,Gurugram
4923,Wholesale,South,KA,Mysuru
1949,Convenience,South,KA,Bengaluru
4946,Wholesale,South,KA,Bengaluru
2290,Wholesale,East,WB,Kolkata
2403,Supermarket,South,KL,Kochi
8962,Convenience,East,OD,Bhubaneswar
2133,Convenience,South,KA,Mysuru
9727,Wholesale,East,JH,Ranchi
3060,Supermarket,South,TS,Hyderabad
3103,Wholesale,North,UP,Lucknow
8787,Convenience,West,GJ,Surat
3705,Kirana,East,BR,Patna
5342,Supermarket,East,BR,Patna
9645,Hypermarket,East,OD,Bhubaneswar
7932,Hypermarket,South,TS,Hyderabad
4470,Kirana,South,KA,Mysuru
9835,Supermarket,West,MH,Mumbai
4295,Convenience,East,JH,Ranchi
6107,Wholesale,West,GJ,Surat
7537,Kirana,East,WB,Kolkata
7118,Wholesale,South,TN,Chennai
8177,Convenience,West,GJ,Ahmedabad
9479,Convenience,South,KL,Kochi
8397,Convenience,South,KL,Kochi
2982,Wholesale,South,TS,Hyderabad
5061,Hypermarket,South,TS,Hyderabad
4681,Supermarket,West,MH,Mumbai
2049,Convenience,South,KA,Bengaluru
6539,Supermarket,West,MH,Pune
1344,Convenience,East,BR,Patna
4770,Supermarket,South,KA,Bengaluru
4608,Hypermarket,South,TN,Chennai
1117,Kirana,West,GJ,Ahmedabad
2163,Kirana,West,GJ,Ahmedabad
1964,Hypermarket,North,HR,Gurugram
4750,Kirana,West,GJ,Surat
2104,Hypermarket,North,HR,Gurugram
1514,Wholesale,East,JH,Ranchi
6413,Kirana,South,TN,Chennai
2160,Kirana,South,KL,Kochi
9423,Wholesale,North,PB,Ludhiana
4899,Kirana,North,HR,Gurugram
5562,Convenience,West,MH,Pune
8953,Supermarket,South,KA,Bengaluru
4510,Wholesale,North,HR,Gurugram
9834,Wholesale,West,RJ,Udaipur
3167,Hypermarket,East,JH,Ranchi
8744,Convenience,East,BR,Patna
4981,Kirana,North,HR,Gurugram
8749,Hypermarket,West,MH,Pune
7669,Supermarket,North,RJ,Jaipur
4119,Kirana,West,RJ,Udaipur
2545,Wholesale,West,MH,Mumbai
2588,Wholesale,East,AS,Guwahati
8062,Supermarket,South,KA,Bengaluru
6804,Wholesale,South,TS,Hyderabad
7939,Hypermarket,North,RJ,Jaipur
7735,Kirana,West,GJ,Surat
8651,Hypermarket,West,MH,Pune
1887,Kirana,West,MH,Mumbai
